id,address,total_spaces,geo_shape,lat,lon
62,Menorca - Baleares,20,"{""coordinates"": [-0.3421522812931475, 39.45981126842254], ""type"": ""Point""}",39.45981126842254,-0.3421522812931475
5,Plaza Poeta Llorente,15,"{""coordinates"": [-0.3711403661399108, 39.476895339123786], ""type"": ""Point""}",39.476895339123786,-0.3711403661399108
7,Plaza del Mercado - Taula de Canvis,19,"{""coordinates"": [-0.3791853952972924, 39.47487233593648], ""type"": ""Point""}",39.47487233593648,-0.3791853952972924
13,Alfonso el Magnánimo - Nave,24,"{""coordinates"": [-0.37087436964085335, 39.4720623227334], ""type"": ""Point""}",39.4720623227334,-0.37087436964085335
15,Ribera - Plaza Ayuntamiento,34,"{""coordinates"": [-0.3756373880434071, 39.46908831533384], ""type"": ""Point""}",39.46908831533384,-0.3756373880434071
25,"Alberique, 18 (Abastos)",23,"{""coordinates"": [-0.38861043334080225, 39.46772931656263], ""type"": ""Point""}",39.46772931656263,-0.38861043334080225
237,Levante U.D. - Ecuador,15,"{""coordinates"": [-0.39103842063587124, 39.494758407776374], ""type"": ""Point""}",39.494758407776374,-0.39103842063587124
79,Aragón - Ernesto Ferrer,20,"{""coordinates"": [-0.357242322435451, 39.4727793187067], ""type"": ""Point""}",39.4727793187067,-0.357242322435451
116,Doctor Vicente Zaragozá - Ramón Asensio,15,"{""coordinates"": [-0.3575613154471814, 39.48325335356676], ""type"": ""Point""}",39.48325335356676,-0.3575613154471814
100,Blasco Ibañez - Mestre Ripoll,20,"{""coordinates"": [-0.33815025853445674, 39.471634305646866], ""type"": ""Point""}",39.471634305646866,-0.33815025853445674
123,Albocácer - Vinaroz,20,"{""coordinates"": [-0.36484133609518726, 39.487671371814656], ""type"": ""Point""}",39.487671371814656,-0.36484133609518726
125,"Masquefa, 42 - 44",15,"{""coordinates"": [-0.3586183142345537, 39.489693375775445], ""type"": ""Point""}",39.489693375775445,-0.3586183142345537
127,Alfahuir - Duque de Mandas,20,"{""coordinates"": [-0.3644463333304693, 39.49059138177909], ""type"": ""Point""}",39.49059138177909,-0.3644463333304693
129,Almazora - Benimuslem,20,"{""coordinates"": [-0.3699453557741905, 39.485975369089516], ""type"": ""Point""}",39.485975369089516,-0.3699453557741905
135,Constitución - Reus,20,"{""coordinates"": [-0.37850138478156414, 39.48570237196362], ""type"": ""Point""}",39.48570237196362,-0.37850138478156414
124,Azagador de Alboraya - Dolores Marqués,25,"{""coordinates"": [-0.3619553259600363, 39.48850137319014], ""type"": ""Point""}",39.48850137319014,-0.3619553259600363
142,Gregorio Gea - Profesor Beltrán Báguena,25,"{""coordinates"": [-0.38965942617943544, 39.48192036501599], ""type"": ""Point""}",39.48192036501599,-0.38965942617943544
128,Alfahuir - Peñiscola,25,"{""coordinates"": [-0.367544345093534, 39.48876637693274], ""type"": ""Point""}",39.48876637693274,-0.367544345093534
130,Convento Carmelitas - Alboraya,15,"{""coordinates"": [-0.370210358642677, 39.483238360081586], ""type"": ""Point""}",39.483238360081586,-0.370210358642677
138,San Pancracio - Periodista Llorente,20,"{""coordinates"": [-0.38422240207482833, 39.48819038284581], ""type"": ""Point""}",39.48819038284581,-0.38422240207482833
147,Pie de la Cruz - Rejas,15,"{""coordinates"": [-0.3802074001545322, 39.47320133107913], ""type"": ""Point""}",39.47320133107913,-0.3802074001545322
149,Peris y Valero - Salamanca,20,"{""coordinates"": [-0.36179534600499663, 39.462934287947085], ""type"": ""Point""}",39.462934287947085,-0.36179534600499663
151,Jerónimo Monsoriu - Alcalde Cano Coloma,20,"{""coordinates"": [-0.33711726031421224, 39.464669282422186], ""type"": ""Point""}",39.464669282422186,-0.33711726031421224
156,Puerto Rico - Cuba,15,"{""coordinates"": [-0.3763453968184098, 39.46096428829767], ""type"": ""Point""}",39.46096428829767,-0.3763453968184098
169,Pavía (Instituto Isabel de Villena),18,"{""coordinates"": [-0.32464520634897104, 39.47878532308192], ""type"": ""Point""}",39.47878532308192,-0.32464520634897104
170,Isabel de Villena - Mendizábal,20,"{""coordinates"": [-0.32533420529241996, 39.482973337910934], ""type"": ""Point""}",39.482973337910934,-0.32533420529241996
167,Pavía - Acequia de la Cadena,20,"{""coordinates"": [-0.3246102088459378, 39.474908310742784], ""type"": ""Point""}",39.474908310742784,-0.3246102088459378
181,"Zapadores, 23",15,"{""coordinates"": [-0.3681913713233589, 39.45799927509706], ""type"": ""Point""}",39.45799927509706,-0.3681913713233589
179,Av. de la Plata - Zapadores,23,"{""coordinates"": [-0.36642636792637634, 39.45547226612543], ""type"": ""Point""}",39.45547226612543,-0.36642636792637634
240,Camp del Turia - Corts Valencianes,20,"{""coordinates"": [-0.40154745608135123, 39.495004413973305], ""type"": ""Point""}",39.495004413973305,-0.40154745608135123
253,José Meliá Castelló - Campos Crespo,15,"{""coordinates"": [-0.4011014879360589, 39.45272627278094], ""type"": ""Point""}",39.45272627278094,-0.4011014879360589
254,Doctor Tomás Sala - Carteros,19,"{""coordinates"": [-0.3899174536874086, 39.447714251158565], ""type"": ""Point""}",39.447714251158565,-0.3899174536874086
239,Florista - T4 (Palau de Congressos),20,"{""coordinates"": [-0.39996444953107335, 39.4969854198013], ""type"": ""Point""}",39.4969854198013,-0.39996444953107335
241,La Vall d'Albaida - Corts Valencianes,15,"{""coordinates"": [-0.4018904586642118, 39.49297840711153], ""type"": ""Point""}",39.49297840711153,-0.4018904586642118
26,San José de Calasanz - Salas Quiroga,15,"{""coordinates"": [-0.38586429939117395, 39.46633523268935], ""type"": ""Point""}",39.46633523268935,-0.38586429939117395
32,Conde Altea - Almirante Cadarso,20,"{""coordinates"": [-0.3682473649948816, 39.46600630156446], ""type"": ""Point""}",39.46600630156446,-0.3682473649948816
37,Peris y Valero - Luis Santángel,20,"{""coordinates"": [-0.3664406250017559, 39.460937800028375], ""type"": ""Point""}",39.460937800028375,-0.3664406250017559
51,Moreras (Oceanográfico),20,"{""coordinates"": [-0.3472273049060467, 39.45218324552497], ""type"": ""Point""}",39.45218324552497,-0.3472273049060467
56,Francia - Menorca,15,"{""coordinates"": [-0.3444052893928658, 39.45842126509135], ""type"": ""Point""}",39.45842126509135,-0.3444052893928658
58,Plaza España,20,"{""coordinates"": [-0.3815864106638383, 39.46621830848607], ""type"": ""Point""}",39.46621830848607,-0.3815864106638383
59,Baleares - Río Escalona,15,"{""coordinates"": [-0.3545493213542055, 39.463088285667624], ""type"": ""Point""}",39.463088285667624,-0.3545493213542055
63,Av Puerto 19 (Telefónica),20,"{""coordinates"": [-0.358414330727018, 39.46777930285978], ""type"": ""Point""}",39.46777930285978,-0.358414330727018
67,Juan Verdeguer - Toneleros,14,"{""coordinates"": [-0.33679826304022287, 39.45886026320377], ""type"": ""Point""}",39.45886026320377,-0.33679826304022287
69,Av. Puerto - Serrería,25,"{""coordinates"": [-0.3387212679875118, 39.46195227384504], ""type"": ""Point""}",39.46195227384504,-0.3387212679875118
112,Manuel Broseta i Pont - Naranjos,40,"{""coordinates"": [-0.34227526701990957, 39.47858033137406], ""type"": ""Point""}",39.47858033137406,-0.34227526701990957
109,Naranjos - Ingeniero Fausto Elio,20,"{""coordinates"": [-0.3335102388084858, 39.4768193210939], ""type"": ""Point""}",39.4768193210939,-0.3335102388084858
159,Francisco Cubells - San José de la Vega,17,"{""coordinates"": [-0.3347222532485526, 39.463449276866356], ""type"": ""Point""}",39.463449276866356,-0.3347222532485526
163,Paseo Neptuno 32-34,20,"{""coordinates"": [-0.3234012136184579, 39.46443727525528], ""type"": ""Point""}",39.46443727525528,-0.3234012136184579
182,Ausias March - Pianista Amparo Iturbi,21,"{""coordinates"": [-0.37496539716978367, 39.455432269344854], ""type"": ""Point""}",39.455432269344854,-0.37496539716978367
190,Cra. Malilla - Bulevar Sur,18,"{""coordinates"": [-0.38029642271654757, 39.44608224133691], ""type"": ""Point""}",39.44608224133691,-0.38029642271654757
192,Cra. Malilla - Oltá,20,"{""coordinates"": [-0.3787144113919625, 39.45263726161547], ""type"": ""Point""}",39.45263726161547,-0.3787144113919625
160,José María de Haro - Justo y Pastor,20,"{""coordinates"": [-0.33898126470999496, 39.467336291769534], ""type"": ""Point""}",39.467336291769534,-0.33898126470999496
164,Pavía - Columbretes,17,"{""coordinates"": [-0.3246342149862025, 39.46846028903177], ""type"": ""Point""}",39.46846028903177,-0.3246342149862025
166,Don Vicente Guillot - Progreso,15,"{""coordinates"": [-0.32881122495787873, 39.47334930757559], ""type"": ""Point""}",39.47334930757559,-0.32881122495787873
185,Ebanista Caselles - Ausias March,15,"{""coordinates"": [-0.3705033850186671, 39.45004424948915], ""type"": ""Point""}",39.45004424948915,-0.3705033850186671
187,Ángel Villena - Ausias March,15,"{""coordinates"": [-0.3688183809361798, 39.447960241518516], ""type"": ""Point""}",39.447960241518516,-0.3688183809361798
191,Esparraguera - Cra. Malilla,15,"{""coordinates"": [-0.37886641388495107, 39.45032925434954], ""type"": ""Point""}",39.45032925434954,-0.37886641388495107
210,Campos Crespo - Juan de Garay,15,"{""coordinates"": [-0.39671647037206986, 39.45555328036534], ""type"": ""Point""}",39.45555328036534,-0.39671647037206986
224,Jorge Comin (Metge) - Terrateig,20,"{""coordinates"": [-0.40358847435527895, 39.480568366964896], ""type"": ""Point""}",39.480568366964896,-0.40358847435527895
226,Corts Valencianes - La Safor,30,"{""coordinates"": [-0.3988594505654264, 39.49086439918327], ""type"": ""Point""}",39.49086439918327,-0.3988594505654264
228,Doctor Nicasio Benlloch - L'Horta Sud,15,"{""coordinates"": [-0.398671446907537, 39.4936924079167], ""type"": ""Point""}",39.4936924079167,-0.398671446907537
